season,athlete_id,athlete_display_name,athlete_first_name,athlete_last_name,athlete_position_abbreviation,athlete_jersey,team_id,team_display_name,category,stat_label,stat_name,stat_display_name,stat_description,display_value,value
2006,5349,,,,,,344,Mississippi State Bulldogs,totals,FG,fieldGoalsMade-fieldGoalsAttempted,Field Goals Made-Attempted,The number of times a 2pt field goal was made.-The number of times a 2pt field goal was attempted.,0-0,
2006,5349,,,,,,344,Mississippi State Bulldogs,totals,FG%,fieldGoalPct,Field Goal Percentage,The ratio of field goals made to field goals attempted: FGM / FGA,0.0,0.0
2006,5349,,,,,,344,Mississippi State Bulldogs,totals,3PT,threePointFieldGoalsMade-threePointFieldGoalsAttempted,3-Point Field Goals Made-Attempted,The number of times a 3pt field goal was made.-The number of times a 3pt field goal was attempted.,0-0,
2006,5349,,,,,,344,Mississippi State Bulldogs,totals,3P%,threePointFieldGoalPct,3-Point Field Goal Percentage,The ratio of 3pt field goals made to 3pt field goals attempted: 3PM / 3PA.,0.0,0.0
2006,5349,,,,,,344,Mississippi State Bulldogs,totals,FT,freeThrowsMade-freeThrowsAttempted,Free Throws Made-Attempted,The number of times a free throw was made.-The number of times a free throw was attempted.,0-0,
2006,5349,,,,,,344,Mississippi State Bulldogs,totals,FT%,freeThrowPct,Free Throw Percentage,The ratio of free throws made to free throws attempted: FTM / FTA,0.0,0.0
2006,5349,,,,,,344,Mississippi State Bulldogs,totals,PF,fouls,Fouls,The number of times a player had illegal contact with the opponent.,0,0.0
2006,5578,,,,,,2229,Florida International Panthers,averages,GP,gamesPlayed,Games Played,Games Played,1,1.0
2006,5578,,,,,,2229,Florida International Panthers,averages,GS,gamesStarted,Games Started,The number of games started by an athlete.,0,0.0
2006,5578,,,,,,2229,Florida International Panthers,averages,MIN,avgMinutes,Minutes Per Game,The average number of minutes per game.,0.0,0.0
2006,5578,,,,,,2229,Florida International Panthers,averages,PTS,avgPoints,Points Per Game,The average number of points scored per game.,11.0,11.0
2006,5578,,,,,,2229,Florida International Panthers,averages,REB,avgRebounds,Rebounds Per Game,The average rebounds per game.,13.0,13.0
