id,uid,date,attendance,time_valid,neutral_site,conference_competition,recent,start_date,notes_type,notes_headline,type_id,type_abbreviation,status_clock,status_display_clock,status_period,status_type_id,status_type_name,status_type_state,status_type_completed,status_type_description,status_type_detail,status_type_short_detail,format_regulation_periods,home_id,home_uid,home_location,home_name,home_abbreviation,home_display_name,home_short_display_name,home_color,home_alternate_color,home_is_active,home_venue_id,home_logo,home_conference_id,home_score,home_winner,away_id,away_uid,away_location,away_name,away_abbreviation,away_display_name,away_short_display_name,away_color,away_alternate_color,away_is_active,away_venue_id,away_logo,away_conference_id,away_score,away_winner,game_id,season,season_type,tournament_id,status_type_alt_detail,groups_id,groups_name,groups_short_name,groups_is_conference,venue_id,venue_full_name,venue_address_city,venue_address_state,venue_capacity,venue_indoor,game_date_time,game_date,PBP,player_box
320472057,s:40~l:54~e:320472057~c:320472057,2012-02-17T01:00Z,0,TRUE,FALSE,TRUE,FALSE,2012-02-17T01:00Z,event,"",0,N/A,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,2057,s:40~l:54~t:2057,Belmont,Bruins,BEL,Belmont Bruins,Belmont,182142,c9262d,TRUE,2098,https://a.espncdn.com/i/teamlogos/ncaa/500/2057.png,46,74,TRUE,2908,s:40~l:54~t:2908,South Carolina Upstate,Spartans,SCUP,South Carolina Upstate Spartans,SC Upstate,008545,000000,TRUE,2070,https://a.espncdn.com/i/teamlogos/ncaa/500/2908.png,46,69,FALSE,320472057,2012,2,,,46,ASUN Conference,ASUN,TRUE,,,,,,,2012-02-17T01:00:00Z,2012-02-16,FALSE,FALSE
320470275,s:40~l:54~e:320470275~c:320470275,2012-02-17T01:00Z,0,TRUE,FALSE,TRUE,FALSE,2012-02-17T01:00Z,event,"",0,N/A,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,275,s:40~l:54~t:275,Wisconsin,Badgers,WISC,Wisconsin Badgers,Wisconsin,A00000,f7f7f7,TRUE,348,https://a.espncdn.com/i/teamlogos/ncaa/500/275.png,7,46,FALSE,127,s:40~l:54~t:127,Michigan State,Spartans,MSU,Michigan State Spartans,Michigan St,18453B,ffffff,TRUE,1987,https://a.espncdn.com/i/teamlogos/ncaa/500/127.png,7,62,TRUE,320470275,2012,2,,,7,Big Ten Conference,Big Ten,TRUE,348,Kohl Center,Madison,WI,17287,TRUE,2012-02-17T01:00:00Z,2012-02-16,TRUE,FALSE
320470202,s:40~l:54~e:320470202~c:320470202,2012-02-17T01:00Z,0,TRUE,FALSE,TRUE,FALSE,2012-02-17T01:00Z,event,"",0,N/A,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,202,s:40~l:54~t:202,Tulsa,Golden Hurricane,TLSA,Tulsa Golden Hurricane,Tulsa,003595,d0b787,TRUE,2049,https://a.espncdn.com/i/teamlogos/ncaa/500/202.png,11,54,FALSE,2638,s:40~l:54~t:2638,UTEP,Miners,UTEP,UTEP Miners,UTEP,ff8200,041e42,TRUE,2117,https://a.espncdn.com/i/teamlogos/ncaa/500/2638.png,11,64,TRUE,320470202,2012,2,,,11,Conference USA,C-USA,TRUE,,,,,,,2012-02-17T01:00:00Z,2012-02-16,FALSE,FALSE
320470135,s:40~l:54~e:320470135~c:320470135,2012-02-17T01:00Z,0,TRUE,FALSE,TRUE,FALSE,2012-02-17T01:00Z,event,"",0,N/A,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,135,s:40~l:54~t:135,Minnesota,Golden Gophers,MINN,Minnesota Golden Gophers,Minnesota,981a31,981a31,TRUE,2094,https://a.espncdn.com/i/teamlogos/ncaa/500/135.png,7,60,TRUE,356,s:40~l:54~t:356,Illinois,Fighting Illini,ILL,Illinois Fighting Illini,Illinois,ff5f05,13294b,TRUE,2127,https://a.espncdn.com/i/teamlogos/ncaa/500/356.png,7,53,FALSE,320470135,2012,2,,,7,Big Ten Conference,Big Ten,TRUE,,,,,,,2012-02-17T01:00:00Z,2012-02-16,TRUE,FALSE
320470130,s:40~l:54~e:320470130~c:320470130,2012-02-17T01:00Z,0,TRUE,FALSE,TRUE,FALSE,2012-02-17T01:00Z,event,"",0,N/A,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,130,s:40~l:54~t:130,Michigan,Wolverines,MICH,Michigan Wolverines,Michigan,00274c,ffcb05,TRUE,1986,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png,7,57,FALSE,2294,s:40~l:54~t:2294,Iowa,Hawkeyes,IOWA,Iowa Hawkeyes,Iowa,000000,fcd116,TRUE,,https://a.espncdn.com/i/teamlogos/ncaa/500/2294.png,7,58,TRUE,320470130,2012,2,,,7,Big Ten Conference,Big Ten,TRUE,,,,,,,2012-02-17T01:00:00Z,2012-02-16,TRUE,FALSE
320470093,s:40~l:54~e:320470093~c:320470093,2012-02-17T01:00Z,0,TRUE,FALSE,TRUE,FALSE,2012-02-17T01:00Z,event,"",0,N/A,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,93,s:40~l:54~t:93,Murray State,Racers,MUR,Murray State Racers,Murray St,002148,000e00,TRUE,2022,https://a.espncdn.com/i/teamlogos/ncaa/500/93.png,18,67,FALSE,2630,s:40~l:54~t:2630,UT Martin,Skyhawks,UTM,UT Martin Skyhawks,UT Martin,FF6700,102a5c,TRUE,7229,https://a.espncdn.com/i/teamlogos/ncaa/500/2630.png,20,91,TRUE,320470093,2012,2,,,,,,,,,,,,,2012-02-17T01:00:00Z,2012-02-16,FALSE,FALSE
320470008,s:40~l:54~e:320470008~c:320470008,2012-02-17T01:00Z,0,TRUE,FALSE,TRUE,FALSE,2012-02-17T01:00Z,event,"",0,N/A,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,8,s:40~l:54~t:8,Arkansas,Razorbacks,ARK,Arkansas Razorbacks,Arkansas,a41f35,222222,TRUE,2142,https://a.espncdn.com/i/teamlogos/ncaa/500/8.png,23,42,FALSE,99,s:40~l:54~t:99,LSU,Tigers,LSU,LSU Tigers,LSU,461d7c,fdd023,TRUE,557,https://a.espncdn.com/i/teamlogos/ncaa/500/99.png,23,50,TRUE,320470008,2012,2,,,23,Southeastern Conference,SEC,TRUE,2142,Bud Walton Arena,Fayetteville,AR,19200,TRUE,2012-02-17T01:00:00Z,2012-02-16,TRUE,FALSE
320470005,s:40~l:54~e:320470005~c:320470005,2012-02-17T01:00Z,0,TRUE,FALSE,TRUE,FALSE,2012-02-17T01:00Z,event,"",0,N/A,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,5,s:40~l:54~t:5,UAB,Blazers,UAB,UAB Blazers,UAB,054338,ffc845,TRUE,2155,https://a.espncdn.com/i/teamlogos/ncaa/500/5.png,11,50,TRUE,2567,s:40~l:54~t:2567,SMU,Mustangs,SMU,SMU Mustangs,SMU,E32F38,ecdcb9,TRUE,1961,https://a.espncdn.com/i/teamlogos/ncaa/500/2567.png,11,46,FALSE,320470005,2012,2,,,11,Conference USA,C-USA,TRUE,2155,Bartow Arena,Birmingham,AL,8500,TRUE,2012-02-17T01:00:00Z,2012-02-16,FALSE,FALSE
320470333,s:40~l:54~e:320470333~c:320470333,2012-02-17T00:30Z,0,TRUE,FALSE,TRUE,FALSE,2012-02-17T00:30Z,event,"",0,N/A,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,333,s:40~l:54~t:333,Alabama,Crimson Tide,ALA,Alabama Crimson Tide,Alabama,9e1632,ffffff,TRUE,1925,https://a.espncdn.com/i/teamlogos/ncaa/500/333.png,23,77,TRUE,96,s:40~l:54~t:96,Kentucky,Wildcats,UK,Kentucky Wildcats,Kentucky,005DAA,ffffff,TRUE,2100,https://a.espncdn.com/i/teamlogos/ncaa/500/96.png,23,75,FALSE,320470333,2012,2,,,23,Southeastern Conference,SEC,TRUE,1925,Coleman Coliseum,Tuscaloosa,AL,14474,TRUE,2012-02-17T00:30:00Z,2012-02-16,FALSE,FALSE
320470288,s:40~l:54~e:320470288~c:320470288,2012-02-17T00:30Z,0,TRUE,FALSE,TRUE,FALSE,2012-02-17T00:30Z,event,"",0,N/A,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,288,s:40~l:54~t:288,Lipscomb,Bisons,LIP,Lipscomb Bisons,Lipscomb,20366C,f6b734,TRUE,2038,https://a.espncdn.com/i/teamlogos/ncaa/500/288.png,46,39,FALSE,2193,s:40~l:54~t:2193,East Tennessee State,Bucs,ETSU,East Tennessee State Bucs,ETSU,002d61,ffc423,TRUE,2006,https://a.espncdn.com/i/teamlogos/ncaa/500/2193.png,46,59,TRUE,320470288,2012,2,,,46,ASUN Conference,ASUN,TRUE,2038,Allen Arena,Nashville,TN,5028,TRUE,2012-02-17T00:30:00Z,2012-02-16,FALSE,FALSE
