id,uid,date,attendance,time_valid,neutral_site,conference_competition,recent,start_date,notes_type,notes_headline,type_id,type_abbreviation,status_clock,status_display_clock,status_period,status_type_id,status_type_name,status_type_state,status_type_completed,status_type_description,status_type_detail,status_type_short_detail,format_regulation_periods,home_id,home_uid,home_location,home_name,home_abbreviation,home_display_name,home_short_display_name,home_color,home_alternate_color,home_is_active,home_venue_id,home_logo,home_conference_id,home_score,home_winner,away_id,away_uid,away_location,away_name,away_abbreviation,away_display_name,away_short_display_name,away_color,away_is_active,away_venue_id,away_logo,away_conference_id,away_score,away_winner,game_id,season,season_type,away_alternate_color,status_type_alt_detail,tournament_id,groups_id,groups_name,groups_short_name,groups_is_conference,venue_id,venue_full_name,venue_address_city,venue_address_state,venue_capacity,venue_indoor,game_date_time,game_date,PBP,team_box,player_box
250830277,s:40~l:54~e:250830277~c:250830277,2005-03-25T00:00Z,0,TRUE,FALSE,FALSE,FALSE,2005-03-25T00:00Z,event,WNIT,0,N/A,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,277,s:40~l:54~t:277,West Virginia,Mountaineers,WVU,West Virginia Mountaineers,West Virginia,FFC600,eaaa00,TRUE,2199,https://a.espncdn.com/i/teamlogos/ncaa/500/277.png,4,65,TRUE,154,s:40~l:54~t:154,Wake Forest,Demon Deacons,WAKE,Wake Forest Demon Deacons,Wake Forest,9E7E38,TRUE,2120,https://a.espncdn.com/i/teamlogos/ncaa/500/154.png,2,52,FALSE,250830277,2005,3,000000,,,,,,,,,,,,,2005-03-25T00:00:00Z,2005-03-24,FALSE,FALSE,FALSE
250830096,s:40~l:54~e:250830096~c:250830096,2005-03-25T00:00Z,0,TRUE,FALSE,FALSE,FALSE,2005-03-25T00:00Z,event,WNIT,0,N/A,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,96,s:40~l:54~t:96,Kentucky,Wildcats,UK,Kentucky Wildcats,Kentucky,005DAA,ffffff,TRUE,2100,https://a.espncdn.com/i/teamlogos/ncaa/500/96.png,23,67,TRUE,2752,s:40~l:54~t:2752,Xavier,Musketeers,XAV,Xavier Musketeers,Xavier,002144,TRUE,1973,https://a.espncdn.com/i/teamlogos/ncaa/500/2752.png,3,62,FALSE,250830096,2005,3,9ea2a2,,,,,,,,,,,,,2005-03-25T00:00:00Z,2005-03-24,FALSE,FALSE,FALSE
254000059,s:40~l:54~e:254000059~c:254000059,2005-03-23T02:30Z,0,TRUE,FALSE,FALSE,FALSE,2005-03-23T02:30Z,event,CHATTANOOGA REGIONAL AT CHAPEL HILL NC,,,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,150,s:40~l:54~t:150,Duke,Blue Devils,DUKE,Duke Blue Devils,Duke,013088,ffffff,TRUE,1914,https://a.espncdn.com/i/teamlogos/ncaa/500/150.png,2,70,TRUE,103,s:40~l:54~t:103,Boston College,Eagles,BC,Boston College Eagles,Boston College,8c2232,TRUE,135,https://a.espncdn.com/i/teamlogos/ncaa/500/103.png,4,65,FALSE,254000059,2005,3,dbcca6,,22,,,,,207,Dean E. Smith Center,Chapel Hill,NC,21750,TRUE,2005-03-23T02:30:00Z,2005-03-22,TRUE,FALSE,FALSE
254000028,s:40~l:54~e:254000028~c:254000028,2005-03-23T02:30Z,0,TRUE,FALSE,FALSE,FALSE,2005-03-23T02:30Z,event,PHILADELPHIA REGIONAL AT COLLEGE PARK MD,,,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,194,s:40~l:54~t:194,Ohio State,Buckeyes,OSU,Ohio State Buckeyes,Ohio State,ce1141,505056,TRUE,317,https://a.espncdn.com/i/teamlogos/ncaa/500/194.png,7,75,TRUE,120,s:40~l:54~t:120,Maryland,Terrapins,MD,Maryland Terrapins,Maryland,D5002B,TRUE,2133,https://a.espncdn.com/i/teamlogos/ncaa/500/120.png,2,65,FALSE,254000028,2005,3,ffcd00,,22,,,,,2133,XFINITY Center,College Park,MD,17950,TRUE,2005-03-23T02:30:00Z,2005-03-22,TRUE,FALSE,FALSE
254000025,s:40~l:54~e:254000025~c:254000025,2005-03-23T02:30Z,0,TRUE,FALSE,FALSE,FALSE,2005-03-23T02:30Z,event,PHILADELPHIA REGIONAL AT STORRS CT,,,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,164,s:40~l:54~t:164,Rutgers,Scarlet Knights,RUTG,Rutgers Scarlet Knights,Rutgers,d21034,ffffff,TRUE,2008,https://a.espncdn.com/i/teamlogos/ncaa/500/164.png,4,61,TRUE,218,s:40~l:54~t:218,Temple,Owls,TEM,Temple Owls,Temple,A80532,TRUE,2011,https://a.espncdn.com/i/teamlogos/ncaa/500/218.png,3,54,FALSE,254000025,2005,3,a7a9ac,,22,,,,,1956,Gampel Pavilion,Storrs,CT,10167,TRUE,2005-03-23T02:30:00Z,2005-03-22,TRUE,FALSE,FALSE
254000018,s:40~l:54~e:254000018~c:254000018,2005-03-23T02:30Z,0,TRUE,FALSE,FALSE,FALSE,2005-03-23T02:30Z,event,PHILADELPHIA REGIONAL AT KNOXVILLE TN,,,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,2633,s:40~l:54~t:2633,Tennessee,Lady Volunteers,TENN,Tennessee Lady Volunteers,Tennessee,ff8200,ffffff,TRUE,2044,https://a.espncdn.com/i/teamlogos/ncaa/500/2633_ncw.png,23,75,TRUE,2509,s:40~l:54~t:2509,Purdue,Boilermakers,PUR,Purdue Boilermakers,Purdue,000000,TRUE,399,https://a.espncdn.com/i/teamlogos/ncaa/500/2509.png,7,54,FALSE,254000018,2005,3,cfb991,,22,,,,,2044,Thompson-Boling Arena,Knoxville,TN,21678,TRUE,2005-03-23T02:30:00Z,2005-03-22,TRUE,FALSE,FALSE
254000052,s:40~l:54~e:254000052~c:254000052,2005-03-23T00:00Z,0,TRUE,FALSE,FALSE,FALSE,2005-03-23T00:00Z,event,CHATTANOOGA REGIONAL AT COLLEGE PARK MD,,,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,305,s:40~l:54~t:305,DePaul,Blue Demons,DEP,DePaul Blue Demons,DePaul,2d649c,ce1125,TRUE,5427,https://a.espncdn.com/i/teamlogos/ncaa/500/305.png,11,79,FALSE,2335,s:40~l:54~t:2335,Liberty,Flames,LIB,Liberty Flames,Liberty,071740,TRUE,7117,https://a.espncdn.com/i/teamlogos/ncaa/500/2335.png,6,88,TRUE,254000052,2005,3,a61f21,,22,,,,,2133,XFINITY Center,College Park,MD,17950,TRUE,2005-03-23T00:00:00Z,2005-03-22,TRUE,FALSE,FALSE
254000049,s:40~l:54~e:254000049~c:254000049,2005-03-23T00:00Z,0,TRUE,FALSE,FALSE,FALSE,2005-03-23T00:00Z,event,CHATTANOOGA REGIONAL AT KNOXVILLE TN,,,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,99,s:40~l:54~t:99,LSU,Tigers,LSU,LSU Tigers,LSU,461d7c,fdd023,TRUE,557,https://a.espncdn.com/i/teamlogos/ncaa/500/99.png,23,76,TRUE,12,s:40~l:54~t:12,Arizona,Wildcats,ARIZ,Arizona Wildcats,Arizona,0c234b,TRUE,1064,https://a.espncdn.com/i/teamlogos/ncaa/500/12.png,21,43,FALSE,254000049,2005,3,ab0520,,22,,,,,2044,Thompson-Boling Arena,Knoxville,TN,21678,TRUE,2005-03-23T00:00:00Z,2005-03-22,TRUE,FALSE,FALSE
254000041,s:40~l:54~e:254000041~c:254000041,2005-03-23T00:00Z,0,TRUE,FALSE,FALSE,FALSE,2005-03-23T00:00Z,event,KANSAS CITY REGIONAL AT STORRS CT,,,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,41,s:40~l:54~t:41,UConn,Huskies,CONN,UConn Huskies,UConn,0c2340,f1f2f3,TRUE,1956,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,4,70,TRUE,52,s:40~l:54~t:52,Florida State,Seminoles,FSU,Florida State Seminoles,Florida St,782F40,TRUE,1952,https://a.espncdn.com/i/teamlogos/ncaa/500/52.png,2,52,FALSE,254000041,2005,3,ceb888,,22,,,,,1956,Gampel Pavilion,Storrs,CT,10167,TRUE,2005-03-23T00:00:00Z,2005-03-22,TRUE,FALSE,FALSE
254000003,s:40~l:54~e:254000003~c:254000003,2005-03-23T00:00Z,0,TRUE,FALSE,FALSE,FALSE,2005-03-23T00:00Z,event,TEMPE REGIONAL AT CHAPEL HILL NC,,,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,153,s:40~l:54~t:153,North Carolina,Tar Heels,UNC,North Carolina Tar Heels,North Carolina,7bafd4,13294b,TRUE,,https://a.espncdn.com/i/teamlogos/ncaa/500/153.png,2,71,TRUE,45,s:40~l:54~t:45,George Washington,Colonials,GW,George Washington Colonials,G Washington,002843,TRUE,2125,https://a.espncdn.com/i/teamlogos/ncaa/500/45.png,3,47,FALSE,254000003,2005,3,e8d2a1,,22,,,,,207,Dean E. Smith Center,Chapel Hill,NC,21750,TRUE,2005-03-23T00:00:00Z,2005-03-22,TRUE,FALSE,FALSE
